Claim Type,Sentence
Claim of Representation,"Wir kämpfen für eine Welt ohne Atomwaffen und dafür, sie völkerrechtlich durch eine internationale Konvention zu ächten."
Claim of Representation,"Wir kämpfen für eine menschenrechtskonforme und rechtsstaatliche EU-Flüchtlingspolitik, die sich durch einen fairen Zugang zum Asylverfahren auszeichnet und die Gewährleistungen der Genfer Flüchtlingskonvention umsetzt."
Claim of Representation,"Wir kämpfen für Vielfalt, Offenheit und ein friedliches Zusammenleben."
Claim of Representation,"Wir kämpfen für mehr Transparenz, mehr gesetzlichen Schutz und faire Klagerechte: So sieht grüner Verbraucher*in nenschutz aus."
Claim of Representation,WIR KÄMPFEN FÜR BEZAHLBARE WOHNUNGEN UND LEBENSWERTE KOMMUNEN
Claim of Representation,"Deshalb wollen wir die Arbeitslosenversicherung zur Arbeitsversicherung weiterentwickeln, die Arbeit nehmer*innen bereits im Job, aber auch bei Arbeitslosigkeit bei der Weiterbildung unterstützt (--> Kapitel: Wir kämpfen für gute Arbeit und bessere Vereinbarkeit, S. 216)."
Claim of Representation,WIR KÄMPFEN FÜR GUTE ARBEIT UND BESSERE VEREINBARKEIT
Claim of Representation,"Deshalb fördern wir Weiterbildungen bereits im Job und nicht nur bei Arbeitslosigkeit (--> Kapitel: Wir kämpfen für gute Arbeit und bessere Vereinbarkeit, Projekt Arbeitsversicherung, S. 216)."
Claim of Representation,Wir kämpfen für eine Gerechtigkeitswende.
Claim of Representation,Wir kämpfen für gleiche Löhne und gleichwertige Lebensverhältnisse in Ost und West.
Claim of Representation,Wir kämpfen für mehr Personal in Bildung und Erziehung.
Claim of Representation,Wir wollen gebührenfreie Kitas (Elternbeitragsfreiheit) und kämpfen für die Abschaffung jeglicher Gebühren im öffentlichen Bildungssystem.
Claim of Representation,Wir kämpfen für soziale Gerechtigkeit und gleichwertige Lebensverhältnisse.
Claim of Representation,Wir hingegen kämpfen für gleiche Rechte und eine soziale Offensive für alle.
Claim of Representation,"Wir kämpfen für eine Gesellschaft, in der Menschen sich frei von Existenzangst"
Claim of Representation,Wir kämpfen für konsequente Abrüstung und wollen den Export und die Produktion von Waffen und Rüstungsgütern verbieten.
Claim of Representation,Wir kämpfen für Mindeststandards und eine abgestimmte Besteuerung der Superreichen in Europa.
Claim of Representation,"und kämpfen für eine Demokratie, in der die Menschen entscheiden, nicht die Profitinteressen."
Claim of Representation,"Wir kämpfen für die Freiheit, seine Meinung sagen und veröffentlichen zu können."
Claim of Representation,Wir stellen uns diesen autoritären und nationalistischen Kräften in Europa entschieden entgegen und kämpfen für mehr europäischen Zusammenhalt und Solidarität.
Claim of Representation,Wir kämpfen für einen fairen und nachhaltigen Handel
Claim of Representation,Wir kämpfen für ein neues Wirtschafts- und Gesellschaftsmodell.
Claim of Representation,Wir kämpfen für eine starke soziale Infrastruktur.
Claim of Representation,"Wir kämpfen für eine Mindestsicherung, die sanktionsfrei ist, also nicht gekürzt werden kann."
Claim of Representation,Wir kämpfen für einen inklusiven Arbeitsmarkt ohne Sonderstrukturen.
Claim of Representation,Wir kämpfen für mehr Personal in Bildung und Erziehung.
Claim of Representation,"Sie kämpfen für die eigenen Rechte, den Eigensinn des Ostens und einen Aufbruch Ost."
Claim of Representation,Wir sind die Stimme des Ostens.
Claim of Representation,Sie lenken ab von sozialen Kämpfen für bessere Löhne
Claim of Representation,Wir kämpfen für einen Systemwechsel.
Claim of Representation,"Wir kämpfen für ein soziales, demokratisches und friedliches Europa, für eine andere Europäische Union, in der alle gut leben und arbeiten können."
Claim of Representation,"Und wir kämpfen für die Umsetzung der EU-Gleichstellungsstrategie, das Lösen der Blockade von Women on Board und die Paytransparency Richtlinie in der EU."
Claim of Misrepresentation,"Dazu sagte Bundeskanzler E r h a r d in Düsseldorf:  ""Es geht darum, daß wir den Alleinvertretungsanspruch der Bundesrepublik für das ganze deutsche Volk, d. h. diesseits und jenseits von Mauer, Stacheldraht und Minenfeldern wahrnehmen; denn diese Menschen können nicht ihre Stimme erheben, sie werden nicht gehört."
Claim of Interests/Values,Wir setzen uns ein für die Förderung jeder Art von landwirt­schaftlichen Genossenschaften und insbesondere auch für die wei­tere Ausbreitung der Molkereigenossenschaften und die Neuerrichtung von dazu nötigen modernen Sennereianlagen über das ganze Land hin.
Claim of Interests/Values,"Unser Ziel ist die sofortige Erhöhung, des Realeinkommens der Arbeiter und Angestellten in allen Betrieben."
Claim of Interests/Values,"Wir setzen uns ein für Selbstverwaltung und Selbstbestimmungsrecht des Handwerks in Handwerksfragen, und wir verlangen Förderung des handwerklichen Genossenschaftswesens durch den Staat."
Claim of Interests/Values,Wir setzen uns ein für wirtschaftliche Selbstverwaltung nach dem Grundsatz allseitiger Partnerschaft in der gesamten Wirtschaft.
Claim of Interests/Values,Unser Ziel ist eine allgemeine Volksversicherung.
Claim of Interests/Values,"Unser Ziel ist es, aus dieser Versöhnung heraus mit den freien Ländern Europas und allen unseren Partnern eine weitgehend gemeinsame Politik zu entwickeln."""
Claim of Interests/Values,"Unser Ziel ist, den Behinderten unabhängig von der Ursache ihrer Behinderung die notwendigen gesellschaftlichen Hilfen zu geben und damit auf einem wichtigen Gebiet der Sozialpolitik mehr Chancengleichheit und mehr Gerechtigkeit zu verwirklichen."
Claim of Interests/Values,"Wir setzen uns ein für eine Stärkung des Ansehens der gesellschaftlichen Leistung der Frauen in Familie und Haushalt.,  3."
Claim of Interests/Values,Unser Ziel ist der europäische Bundesstaat.
Claim of Interests/Values,"Unser Ziel ist es, möglichst alle Hauptschüler zum Hauptschulabschluß zu führen, der ihnen den Weg in eine qualifizierte Berufsausbildung öffnet."
Claim of Interests/Values,z. Unser Ziel ist ein geeintes Europa freier Menschen.
Claim of Interests/Values,z.  Wir setzen uns ein für die Erhaltung von Inhalt und Form der deutschen  Sprache.
Claim of Interests/Values,"Unser Ziel ist deshalb die Minderung unserer Abhängigkeit vom Ausland durch sparsamen Energieverbrauch, die stärkere Nutzung des heimischen Energieträgers Kohle sowie die Entwicklung und der Einsatz neuer Energiequellen."
Claim of Interests/Values,"Unser Ziel ist die Wiedererlangung von Vollbeschäftigung, Preisstabilität, soliden Staatsfinanzen und wirtschaftlichem Wachstum."
Claim of Interests/Values,Unser Ziel ist der schrittweise Abbau des Verschuldenszuwachses der öffentlichen Hände und damit die stufenweise Rückführung des Staatsanteils am Bruttosozialprodukt auf ein volkswirtschaftlich vertretbares Maß durch geringeren Anstieg der öffentlichen Ausgaben als des Bruttosozialprodukts.
Claim of Interests/Values,"Wir hängen nicht an allem, was einmal war, aber wir stehen für eine Politik aus einem Geiste, der immer gilt."
Claim of Interests/Values,Unser Ziel ist ein vereintes Europa freier Menschen.
Claim of Interests/Values,"Unser Ziel ist ein gemeinsames Verständnis der grundlegenden Wertentscheidungen, die unser Volk zu einer Gemeinschaft verbinden."
Claim of Interests/Values,"- Wir setzen uns ein für die Stärkung der kommunalen Selbstverwaltung in Städten, Dörfern und Gemeinden."
Claim of Interests/Values,Unser Ziel ist: Es gibt keine Rüstungsproduktion und keinen Rüstungsexport.
Claim of Interests/Values,Unser Ziel ist ein atomwaffenfreies Europa von Polen bis Portugal.
Claim of Interests/Values,Wir stehen für 16 Jahre der Bewahrung und Sicherung des Friedens: darauf sind wir stolz.
Claim of Interests/Values,"Unser Ziel ist es, vom Nichtkrieg durch Abschreckung zu einem Frieden durch Vertrauen zu kommen."
Claim of Interests/Values,"Unser Ziel ist eine Gesellschaft ohne Frauenunterdrückung, Herrschaft, Gewalt und Rollenfestschreibung."
Claim of Interests/Values,"Unser Ziel ist eine Gesellschaft, in der die gesamte gesellschaftlich notwendige Arbeit - Hausarbeit, Kindererziehung und Erwerbsarbeit - auf alle umverteilt und dadurch die geschlechtsspezifische Arbeitsteilung überwunden wird."
Claim of Interests/Values,"Unser Ziel ist es, daß gleiche soziale Tatbestände in allen Alterssicherungssystemen auch zu gleichwertigen Leistungen und Belastungen führen."
Claim of Interests/Values,"Unser Ziel ist es, bei einer allgemeinen Verbesserung der Finanzlage, diesen Kinderzuschlag für ältere Mütter auch in andere Versorgungssysteme einzuführen."
Claim of Interests/Values,"Unser Ziel ist auch, bei der Ausbildungsförderung für Studenten das Volldarlehen abzuschaffen und durch ein gemischtes System von Zuschuß und Darlehensförderung abzulösen."
Claim of Interests/Values,"Unser Ziel ist eine europäische Friedensordnung, welche die Machtblöcke übergreift und schließlich überwindet."
Claim of Interests/Values,"Unser Ziel ist es, die bereits im EDWG Vertrag von 1957 verankerten vier Grundfreiheiten des freien Personenverkehrs, Warenverkehrs, Dienstleistungsgewerbes und Kapitalverkehrs zu verwirklichen."
Claim of Interests/Values,Unser Ziel ist die Bewahrung der Natur und Landschaft in ihrer heutigen Vielfalt.
Claim of Interests/Values,"Unser Ziel ist nicht nur die Förderung der Familie, bestehend aus Eltern und Kindern, sondern auch die Förderung der Mehr-generationen-familie."
Claim of Interests/Values,"Wir stehen für das Prinzip der Gewaltfreiheit bei der Bewältigung jeglicher Konflikte, also auch in der Politik."
Claim of Interests/Values,"Wir setzen uns ein für:  Finanzhilfen zur Umstrukturierung der DDRWirtschaft sowie zur Schaffung neuer Arbeitsplätze, zur Umschulung und Qualifizierung von Arbeitnehmertrinen und Unternehmerinnen, zur Instandsetzung und zum Neubau von Wohnungen."
Claim of Interests/Values,"Wir setzen uns ein für:  die Einberufung einer internationalen Entschuldungskonferenz (NordSüd, OstWest)."
Claim of Interests/Values,"Wir setzen uns ein für: •	eine streng föderativ strukturierte, dem Kulturauftrag und den Rechten von Minderheiten verpflichtete öffentlichrechtliche Rundfunkneuordnung; •	die konsequente MwendungdesKartellrechtsv.a.aufdem Pressemarkt und gegen Monopolbildung; •	neue, alternative, va. nichtkommerzielle Produktims, Sendeund K munikationsfonnen."
Claim of Interests/Values,"Wir stehen für das Selbstbestimmungsrecht von Freue, das wir auch in einer neuen gesamtdeutschen Verfassung 'erankert sehen wollen."
Claim of Interests/Values,Unser Ziel ist die gleichberechtigte Beteiligung von rauen in alten Bereichen des öffentlichen Lebens und der uhrscharf.
Claim of Interests/Values,"Unser Ziel ist es, in der nächsten Wahlperiode ein geschlossenes Konzept zur Alterssicherung der Frauen (unter Berücksichtigung von in Betrieben mithelfenden Familienangehörigen) sowie für die Neuordnung des Berufs- und Erwerbsunfähigkeitsrechts (Rehabilitation und Frühinvalidität) vorzulegen."
Claim of Interests/Values,Unser Ziel ist eine neue Partnerschaft zwischen Mann und Frau.
Claim of Interests/Values,"Unser Ziel ist es, für alle Kinder, die älter als drei Jahre sind, einen Kindergartenplatz zu schaffen."
Claim of Interests/Values,Unser Ziel ist eine gute Gesundheitsversorgung für alle Menschen in Deutschland.
Claim of Interests/Values,"Wir stehen für eine ökologische Offensive, ohne sie haben wir auch wirtschaftlich keine Zukunft."
Claim of Interests/Values,"Unser Ziel ist, für Menschen mit Behinderungen ein selbstbestimmtes Leben zu ermöglichen."
Claim of Interests/Values,"Wir setzen uns ein für die Verbesserung der Rechte aller Minderheiten im eigenen Land und in den Nachbarländern, ohne die alles Bemühen um die Verbesserung der Menschenrechte weltweit unglaubwürdig bleibt."
Claim of Interests/Values,MIT DER ABRÜSTUNG BEI UNS ANFANGEN  Unser Ziel ist ein ABC-Waffen-freies Europa.
Claim of Interests/Values,Unser Ziel ist die gesamteuropäische Integration.
Claim of Interests/Values,"Unser Ziel ist eine gemeinsame europäische Politik, die verhindert, daß die Europäische Union eine Wohlstandsfestung auf Kosten des Südens und des Osten wird."
Claim of Interests/Values,"Unser Ziel ist, den CO2-Ausstoß bis zum Jahr 2005 um mindestens ein Viertel zu verringern."
Claim of Interests/Values,"Unser Ziel ist es, lange Krankenhausaufenthalte zu vermeiden und die Versorgung in der häuslichen Atmosphäre zu ermöglichen."
Claim of Interests/Values,Unser Ziel ist die Soziale und Ökologische Marktwirtschaft.
Claim of Interests/Values,"Unser Ziel ist die Entwicklung eines gesamteuropäischen Wirtschaftsraumes, zu dem ein europäischer Verkehrs-, Kommunikations- und Energieverbund gehört."
Claim of Interests/Values,"Unser Ziel ist, eigenständige Entscheidungs- und Gestaltungsräume zu erweitern, in denen die Bürger ihre Verantwortung für sich und für das Gemeinwohl annehmen."
Claim of Interests/Values,Unser Ziel ist die Verwirklichung eines Niedrigenergie-Standards im Neubau- und Althausbestand
Claim of Interests/Values,"Unser Ziel ist es, in den Aufsichtsräten großer Kapitalgesellschaften VertreterInnen von Verbraucher- und Umweltverbänden Sitze einzuräumen"
Claim of Interests/Values,Wir stehen für ein solidarisches und leistungsfähiges Gesundheitssystem
Claim of Interests/Values,Unser Ziel ist die Rückführung der Staatsverschuldung
Claim of Interests/Values,"Unser Ziel ist ein weiterhin bezahlbares Rentensystem, das den Menschen im Alter einen angemessenen Lebensstandard sichert"
Claim of Interests/Values,"Unser Ziel ist es, den behinderten Menschen ein selbstbestimmtes Leben zu ermöglichen"
Claim of Interests/Values,Unser Ziel ist eine dauerhafte soziale und umweltverträgliche Entwicklung
Claim of Interests/Values,"Unser Ziel ist eine klare und faire Zuordnung der Aufgaben und Finanzen zwischen Bund, Ländern und Gemeinden"
Claim of Interests/Values,Unser Ziel ist ein stabiles Weltwährungs­system
Claim of Interests/Values,Unser Ziel ist die Absenkung der Beiträge zu den gesetzlichen Sozialversicherungen auf unter 40 %
Claim of Interests/Values,"Unser Ziel ist ein vereintes Europa, das gemeinsam Verantwortung für Frieden und Freiheit trägt"
Claim of Interests/Values,"Unser Ziel ist, daß Produkte und Verfahren entwickelt werden, die von vornherein ein Maximum an Um­weltverträglichkeit aufweisen"
Claim of Interests/Values,"Wir setzen uns ein für eine europaweit abgestimmte, harmonisierte, aufkommens- und wettbewerbs­neutrale Energiebesteuerung"
Claim of Interests/Values,Unser Ziel ist die Schaffung von Dauerarbeitsplätzen am regulären Arbeitsmarkt
Claim of Interests/Values,"Unser Ziel ist es, mittelfristig jedem Lang­zeitarbeitslosen, dem kein Arbeitsplatz angeboten werden kann, über die Kommunen eine gemeinnützige Arbeit zu verschaffen"
Claim of Interests/Values,"Wir stehen für eine aktive und präventive Friedenspolitik, die die internationalen Zusammenhänge beachtet."
Claim of Interests/Values,Wir setzen uns ein für eine Stärkung der Regionen und für eine eigenständige regionale Finanz- und Planungshoheit.
Claim of Interests/Values,"Unser Ziel ist es, den Anteil des Radverkehrs bis 2010 zu verdoppeln."
Claim of Interests/Values,Wir setzen uns ein für verstärkte Programme zur Lärmsanierung sowohl an Verkehrswegen als auch an den Fahrzeugen.
Claim of Interests/Values,Wir stehen für Transparenz und verbindliche Bürgerbeteiligung bei der Errichtung neuer Anlagen.
Claim of Interests/Values,Wir stehen für eine moderne Verbraucherpolitik:
Claim of Interests/Values,"Wir stehen für eine gerechte Verteilung der gesellschaftlichen Güter, und das erfordert besonders eine Parteinahme für die sozial Schwachen."
Claim of Interests/Values,Unser Ziel ist die vollständige Steuerfreistellung der Sozialversicherung
Claim of Interests/Values,Wir stehen für Generationengerechtigkeit.
Claim of Interests/Values,Wir stehen für Generationengerechtigkeit
Claim of Interests/Values,Wir setzen uns ein für eine Mindestqualifikation von Tagesmüttern
Claim of Interests/Values,Wir stehen für Teilhabe an Bildung für alle.
Claim of Interests/Values,"Unser Ziel ist es, die Menschen dabei zu unterstützen, ihre Bildungsziele zu erreichen und so zugleich die Abbruchquote zu senken."
Claim of Interests/Values,Wir stehen für eine demokratische Fortentwicklung des Cyberspace.
Claim of Interests/Values,Wir setzen uns ein für die historische Aufarbeitung der Homosexuellen-Verfolgung.
Claim of Interests/Values,"Wir stehen für eine Gesellschaft, die Frauen und Männer ermutigt und ihnen die Chance eröffnet, ihre eigenen Lebensentwürfe zu verwirklichen."
Claim of Interests/Values,"Unser Ziel ist es, diese Politik fortzusetzen und weiteren Entwicklungsländern durch nachhaltige Entschuldung eine neue Chance zu geben."
Claim of Interests/Values,Unser Ziel ist der deutliche Abbau militärischer Potenziale in unserem Land.
Claim of Interests/Values,Unser Ziel ist die Sicherung des Friedens weltweit.
Claim of Interests/Values,"Unser Ziel ist es, das wachsende Aufkommen von Güterverkehr, das Deutschland aufgrund seiner Mittellage in Europa künftig zu bewältigen hat, vermehrt von der Straße auf die Schiene zu lenken."
Claim of Interests/Values,"Unser Ziel ist es, die sozialen Sicherungssysteme zukunftsfest zu machen, durch Transparenz und Vereinfachung für mehr Gerechtigkeit zu sorgen und die Beitragslast dauerhaft unter 40 % zu senken."
Claim of Interests/Values,"Unser Ziel ist es, dass im Ergebnis alle entlastet werden und weniger Steuern zahlen."
Claim of Interests/Values,"Unser Ziel ist es, die Ökosteuer in der bestehenden Form mittelfristig abzuschaffen und sie durch eine aufkommens- und wettbewerbsneutrale, europaweit abgestimmte, harmonisierte und schadstoffbezogene Abgabe zu ersetzen."
Claim of Interests/Values,"Unser Ziel ist es, den Zugang zu Fremdfinanzierung ebenso zu erleichtern wie den Betrieben höhere Eigenkapitalquoten zu ermöglichen."
Claim of Interests/Values,"Unser Ziel ist, für Mittelstand und Existenzgründer das Angebot an Investitions- und Wagniskapital zu verbessern."
Claim of Interests/Values,"Unser Ziel ist, die zentrale Studienplatzvergabe abzuschaffen."
Claim of Interests/Values,"Unser Ziel ist es, die Förderung des selbstgenutzten Wohneigentums in Neubau und Bestand zu stärken,"
Claim of Interests/Values,Wir setzen uns ein für Ehrfurcht vor gewachsenen Traditionen.
Claim of Interests/Values,Wir stehen für eine Politik fairer Chancen für Stadt und Land.
Claim of Interests/Values,"Unser Ziel ist es, die Ökosteuer in der bestehenden Form mittelfristig abzuschaffen und sie durch eine aufkommens- und wettbewerbsneutrale, europaweit abgestimmte, harmonisierte und schadstoffbezogene Abgabe zu ersetzen."
Claim of Interests/Values,"Unser Ziel ist, das Umweltrecht überschaubarer, schneller vollziehbar und damit wirksamer und vor allem für Mittelstand und Landwirtschaft praktikabler zu machen."
Claim of Interests/Values,"Unser Ziel ist ein Naturschutz, der das Überleben der heimischen Tier- und Pflanzenwelt durch genügend große Schutzgebiete, ein Biotop-Verbundsystem und den Ausbau des Vertragsnaturschutzes sichert."
Claim of Interests/Values,"Unser Ziel ist es, dass die Kommunen wichtige Aufgaben der Daseinsvorsorge auch in Zukunft wahrnehmen können."
Claim of Interests/Values,"Wir setzen uns ein für eine Gesellschaft, in der die Menschen die notwendigen Veränderungen ohne Angst vor Arbeitslosigkeit und Ausgrenzung mitgehen können."
Claim of Interests/Values,"Unser Ziel ist es, den Anteil derer, die keinen Abschluss bekommen, massiv zu senken und den Anteil derjenigen, die zum Studium kommen, deutlich zu erhöhen."
Claim of Interests/Values,"Unser Ziel ist die Sicherstellung einer medizinischen notwendigen Versorgung für alle Menschen – unabhängig von Einkommen, Geschlecht, Herkunft, sozialer Lage und Wohnort."
Claim of Interests/Values,"Unser Ziel ist, die Prävention und Gesundheitsförderung zu einer eigenständigen Säule unseres Gesundheitswesens zu machen, damit Krankheiten, die sich z.B."
Claim of Interests/Values,Wir setzen uns ein für eine internationale Agentur für erneuerbare Energien.
Claim of Interests/Values,"Wir stehen für die Anerkennung von Verschiedenheit, für Respekt und Gleichberechtigung jedes Menschen."
Claim of Interests/Values,Wir setzen uns ein für die erleichterte Einbürgerung und die großzügige Hinnahme der doppelten Staatsbürgerschaft.
Claim of Interests/Values,Wir setzen uns ein für eine Bleiberechtsregelung.
Claim of Interests/Values,"Unser Ziel ist es, mittel- und langfristig solche Standards in der Welthandelsorganisation zu verankern."
Claim of Interests/Values,Unser Ziel ist das endgültige Aus für solche Pläne.
Claim of Interests/Values,"Wir stehen für eine EU, die Gleichberechtigung und Schutz vor Diskriminierung in allen Mitgliedsstaaten sicherstellt."
Claim of Interests/Values,Unser Ziel ist die volle Freizügigkeit in Europa.
Claim of Interests/Values,"Unser Ziel ist es, den Ressourcenverbrauch drastisch zu senken sowie Emissionen und Abfallströme deutlich zu vermindern."
Claim of Interests/Values,Wir setzen uns ein für Frieden
Claim of Interests/Values,"Unser Ziel ist ein ökonomisch effizientes, sozial angemessenes und ökologisch verträgliches Mobilitätsangebot."
Claim of Interests/Values,"Unser Ziel ist ein emissionsfreies Kraftwerk, in dem CO2 wirksam abgeschieden und gespeichert werden kann."
Claim of Interests/Values,"Wir stehen für den offenen Zugang zu den Hochschulen, unabhängig von den sozialen oder finanziellen Voraussetzungen der Jugendlichen."
Claim of Interests/Values,"Unser Ziel ist, dass alle Menschen auch in hohem Alter Anerkennung finden, aktiver Teil unserer Gesellschaft sind und in materieller Sicherheit leben können."
Claim of Interests/Values,"Unser Ziel ist, das faktische Renteneintrittsalter an das gesetzliche Eintrittsalter von 65 Jahren heranzuführen."
Claim of Interests/Values,"Unser Ziel ist richtig –Soziale Demokratie: Arbeit, Sicherheit, Menschlichkeit."
Claim of Interests/Values,Wir stehen für die Freiheit der Forschung im Dienst des Menschen.
Claim of Interests/Values,"Wir stehen für eine Umweltpolitik, in deren Mittelpunkt der Mensch steht."
Claim of Interests/Values,Wir stehen für die Rückkehr zu einer vertrauensvollen transatlantischen Zusammenarbeit.
Claim of Interests/Values,Unser Ziel ist nicht die bessere Verteilung des Mangels.
Claim of Interests/Values,"Unser Ziel ist die Rückkehr zu mehr Beschäftigung, Wachstum und Sicherheit."
Claim of Interests/Values,"Unser Ziel ist es, Anreize für den Aufbau neuer Breitband-Netze zu setzen, in dem wir dafür sorgen, dass Investitionen in diesem Bereich nicht durch staatliche Regulierung behindert werden."
Claim of Interests/Values,"Unser Ziel ist ein Unternehmensteuerrecht, das im internationalen Wettbewerb attraktiv ist."
Claim of Interests/Values,Wir stehen für die Stärkung der UN
Claim of Interests/Values,"Wir stehen für eine aktive Gestaltung der Arbeitsmigration, weil unsere Wirtschaft sie braucht."
Claim of Interests/Values,Wir stehen für eine solidarische Antwort auf die Weltwirtschaftskrise.
Claim of Interests/Values,"Unser Ziel ist es, große Erbschaften stärker als bisher zur Finanzierung öffentlicher Aufgaben heranzuziehen."
Claim of Interests/Values,Unser Ziel ist darüber hinaus eine sozial gerechte Reform der Einkommenssteuer.
Claim of Interests/Values,"Unser Ziel ist eine Grundsicherung, die ohne Sanktionen auskommt und die auf Motivation, Hilfe und Anerkennung statt auf Bestrafung setzt."
Claim of Interests/Values,"Unser Ziel ist es, die gesundheitliche Versorgung weiter zu verbessern"
Claim of Interests/Values,"Unser Ziel ist, vor allem mehr junge Menschen aus einkommensarmen Elternhäusern für ein Studium zu gewinnen."
Claim of Interests/Values,"Unser Ziel ist eine integrierte ländliche Entwicklung, die gleichwertige Lebensverhältnisse und eine gute ökonomische, soziale und kulturelle Teilhabe auf dem Land genauso ermöglicht wie in der Stadt."
Claim of Interests/Values,"Unser Ziel ist, die Chemie- und Kunststoffindustrie perspektivisch unabhängig vom Erdöl zu machen."
Claim of Interests/Values,"Wir stehen für eine Flüchtlingspolitik, die auf der Genfer Flüchtlingskonvention und der Europäischen Menschenrechtskonvention beruht."
Claim of Interests/Values,Wir stehen für eine Politik der Vielfalt und für klare Kante gegen Diskriminierung.
Claim of Interests/Values,"Unser Ziel ist es, den Osten als Bildungsstandort zu etablieren, doch dafür bedarf es verstärkter Investitionen und verbesserter Rahmenbedingungen, um Menschen zu ermutigen, hier ihre Chancen zu ergreifen."
Claim of Interests/Values,"Unser Ziel ist, Ostdeutschlands Energieversorgung mittelfristig 100-prozentig erneuerbar zu entwickeln."
Claim of Interests/Values,Wir setzen uns ein für die Öffnung der kulturellen Einrichtungen
Claim of Interests/Values,Wir stehen für eine aktivierende Klimapartnerschaft.
Claim of Interests/Values,Unser Ziel ist die Entnuklearisierung der NATO-Strategie.
Claim of Interests/Values,"Unser Ziel ist, dass Frauen selbstbestimmt ihr Leben gestalten können."
Claim of Interests/Values,"Wir stehen für eine konjunkturgerechte Schuldenregel, die das Defizit von Bund und Ländern begrenzt."
Claim of Interests/Values,"Unser Ziel ist, die Treibhausgas- emissionen in Deutschland bis zum Jahr 2020 gegenüber 1990 um mindestens 40 Prozent zu senken."
Claim of Interests/Values,Unser Ziel ist Gute Arbeit.
Claim of Interests/Values,"Unser Ziel ist ein allgemeiner gesetzlicher Mindestlohn, der eine unterste Grenze markiert, unter die Löhne nicht fallen dürfen."
Claim of Interests/Values,"Unser Ziel ist, dass alle Jugendlichen einen Berufsabschluss oder Abitur haben."
Claim of Interests/Values,"Unser Ziel ist ein sozial gerechtes, leistungsstarkes und durchlässiges Schulsystem, das kein Kind und keinen Jugendlichen zurücklässt."
